Titre,Entreprise,Description,Niveau d'étude,Expérience,Contrat,Lieu,Compétences,Lien
Commercial Immobilier - Abidjan,IVOIREIENNE DEVELOPPEMENT IMMOBILIER,"Nous sommes à la recherche des  Commerciaux Immobilier. Missions : Commercial très efficace, chargé de commercialiser les programmes immobiliers de l'entreprise",Non spécifié,Non spécifié,CDI,Abidjan,Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/commercial-immobilier-abidjan-1509693
Producteur/ Productrice - Abidjan,ISTORIAS MEDIA,"Nous sommes à la recherche d'un(e)  Producteur/ Productrice. Personne ayant une expérience confirmée dans la production audiovisuelle, de préférence avec une formation de journaliste. Une excellente connaissance du paysage médiatique de la Côte d’Ivoire, des réseaux sociaux et des contacts locaux est essentielle. Une expérience en radio/podcast serait un atout, ainsi que la maîtrise de plusieurs langues locales. Missions : Dans le cadre de la production d’un nouveau vidéopodcast conversationnel sur le discours de haine, le/la journaliste réseaux sociaux sera chargé·e de : Élaborer et mettre en œuvre une stratégie de diffusion sur les réseaux sociaux. Créer et adapter du contenu visuel et...",Non spécifié,Non spécifié,Freelance,Abidjan,Journalisme - Production,https://www.emploi.ci/offre-emploi-cote-ivoire/producteur-productrice-abidjan-1510243
Responsable Exploitation - Cocody,MOI JEU TRI,"Nous sommes à la recherche d'un  Responsable Exploitation. Missions : Renforcer et animer les partenariats en place dans les zone (collectivités locales, établissement scolaires, associations, partenaires de revente de déchets, etc) Assurer l’animation des prestataires de services et plus particulièrement des coopératives constituées Être force de proposition pour l’amélioration continue des opérations dans les zones Appuyer les différents process de reporting (comptabilité, indicateurs et reporting annuels) Sous la supervision du responsable des Opérations, appuyer la supervision du déploiement des programmes les zones couvertes Soutenir le responsable des opérations dans la mise en...",Non spécifié,Non spécifié,CDI & CDD,Abidjan,Activités Logistiques - Douane - Gestion des Stocks - Gestion Logistique - Sécurité Routière - Stockage - Stocks - Transport,https://www.emploi.ci/offre-emploi-cote-ivoire/responsable-exploitation-cocody-1510229
Technicien(ne) Administratif(ve) et Technique - Abidjan,GAS SYSTEMES AFRIQUE,"Vous êtes organisé(e), réactif(ve) et capable de gérer plusieurs tâches à la fois ? Vous avez une expérience éprouvée dans le montage rapide des dossiers de Marchés et dossiers Administratifs, et à apporter un appui efficace sur le terrain ? Nous recherchons un(e) Technicien(ne) Administratif(ve) et Technique pour renforcer notre équipe en Côte d’Ivoire.",Non spécifié,Non spécifié,CDI & CDD,Abidjan & International,Non spécifié,https://www.emploi.ci/offre-emploi-cote-ivoire/technicienne-administratifve-technique-abidjan-1508062
"Téléconseiller - Cocody, Riviera Palmeraie",HIROOKU,"Nous sommes à la recherche des  Téléconseillers. Missions : Émettre des appels vers la France pour atteindre les objectifs fixés, Prospecter des clients potentiels, Contacter des prospects en développant un argumentaire qui correspond à leurs besoins et les conseiller, Proposer de nouveaux services ou produits, Réalisation d'enquêtes téléphoniques, prise de rendez-vous téléphoniques",Non spécifié,Non spécifié,Stage,Abidjan,Télémarketing,https://www.emploi.ci/offre-emploi-cote-ivoire/teleconseiller-cocody-riviera-palmeraie-1507552
Stagiaire Commercial - Abidjan,TINITZ,"Nous sommes à la recherche d'un  Stagiaire Commercial. En tant que Commerciale chez TINITZ, vous serez le moteur de notre croissance en assurant le développement et la fidélisation de notre portefeuille clients. Missions : Identifier et prospecter de nouveaux clients dans les secteurs clés. Présenter et vendre les solutions informatiques et digitales de TINITZ. Élaborer des propositions commerciales adaptées aux besoins des clients. Négocier les contrats et assurer le suivi des projets jusqu'à leur réalisation. Collaborer avec l’équipe technique pour garantir la satisfaction des clients.",Non spécifié,Non spécifié,Stage,Abidjan,Négociation - Stratégie Commerciale - Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/stagiaire-commercial-abidjan-1508002
Livreur - Abidjan,SURYAH ISRABUSINESS,"Nous recherchons des Livreurs motivés pour assurer la livraison de marchandises (colis, repas, etc.) auprès de nos clients dans les délais impartis. Missions : Vous serez responsable de vérifier les commandes, respecter les itinéraires et offrir un service courtois.",Non spécifié,Non spécifié,CDD,Abidjan,Transport - Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/livreur-abidjan-1506130
Chef de Chantier - Abidjan,IMAGE PUB PLUS,"Image Pub Plus, leader dans la confection publicitaire, la confection publicitaire recherche un Chef de Chantier pour superviser ses projets. Vous serez responsable de la planification, de la coordination et de l'exécution des travaux sur site, en veillant à la qualité, au respect des délais et des normes de sécurité. Vos principales missions : Planification et organisation : Élaborer le planning des travaux en collaboration avec les équipes internes. Identifier les ressources nécessaires (matériaux, équipements, main-d'œuvre). Supervision et exécution : Diriger et encadrer les équipes sur le terrain. Assurer le suivi des travaux d’installation et de construction, notamment pour l...",Non spécifié,Non spécifié,CDI & CDD,Abidjan,Aluminium - BTP - Confection - Construction - Gestion de la Qualité - Maintenance - Manipulation - Montage - Production - PVC - Qualité,https://www.emploi.ci/offre-emploi-cote-ivoire/chef-chantier-abidjan-1507196
Informaticien - Abidjan,TGCC CÔTE D'IVOIRE,"Dans le cadre du développement de ses activités à l’international, TGCC Côte d'Ivoire recrute (1) Informaticien  en Côte d'Ivoire. Missions : Basé à Abidjan, les missions évolutives du poste portent notamment sur : Installer, configurer et maintenir des matériaux informatiques (Postes et périphériques). Installer et configurer de nouveaux logiciels, systèmes d’exploitation, Antivirus... Installer, paramétrer, assistance téléphone, télémaintenance, ou déplacement sur site en cas de nécessité, pour les postes clients (ordinateurs, imprimantes), ainsi que des serveurs centraux et locaux. Maintenir la sécurité du système, et traitement des problèmes matériels et logiciels.",Non spécifié,Non spécifié,CDD,Abidjan,Non spécifié,https://www.emploi.ci/offre-emploi-cote-ivoire/informaticien-abidjan-1511162
Technicien / Opérateur de Production H/F CDD-CQP - Cocody,AITHNIK,"Nous sommes à la recherche des   Techniciens / Opérateurs de Production H/F CDD-CQP. Missions : Alimenter la ligne de production avec des matières premières et la piloter. Respecter les consignes de sécurité et les procédures de fabrication pour garantir la qualité et la conformité des produits finis. Contrôler la conformité et la qualité des produits en sortie de chaîne. Approvisionner la ligne de production. Réglage et production sur ligne de production semi automatique Préparation des mélanges Participer à la fabrication ou à la finition d'un produit. Piloter la ligne de production en respectant les consignes. Contrôler les produits avant , pendant et après la production. Conditionner les produits...",Non spécifié,Non spécifié,CDD & Stage,Abidjan,Électrotechnique - Fabrication - Hygiène - Maintenance - Maintenance Préventive - Production - Qualité,https://www.emploi.ci/offre-emploi-cote-ivoire/technicien-operateur-production-hf-cdd-cqp-cocody-1501935
Responsable D´Enseigne - Abidjan,Non spécifié,Nous sommes à la recherche d'un  Responsable d'Enseigne. Missions : Manager une équipe de plus de 20 personnes en leur fixant des objectifs clairs et en les accompagnant dans leur développement. Animer la vie commerciale du magasin en mettant en place des actions marketing efficaces et en optimisant les linéaires. Piloter la performance du magasin en analysant les indicateurs clés et en mettant en œuvre des plans d'action correctifs. Gérer les opérations quotidiennes en veillant à la fluidité des processus et à la qualité du service client. Développer le magasin en participant à des projets d'amélioration continue et en proposant de nouvelles initiatives.,Non spécifié,Non spécifié,CDI,Abidjan,Merchandising,https://www.emploi.ci/offre-emploi-cote-ivoire/responsable-enseigne-abidjan-1502342
ANGULAR Developer (M/F),AFRICASHORE,"We are looking for ANGULAR Developer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Working within a Team to determine needs and applying / customizing existing technology to meet those needs. Producing detailed specifications and writing the program codes that perform efficiently. Write clean, scalable, reusable code using ANGULAR framework such as LumX, NGX-Bootstrap, Vue.js etc. Be responsible for providing technical guidance or solutions. Define, advocate, and implement best practices and coding standards for the team. Develop and guide the team members in enhancing their technical capabilities and increasing productivity. Manage, train...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,BOOTSTRAP - CSS3 - CVS - GIT - JAVASCRIPT - JQUERY - LESS - MVC - MYSQL - REST,https://www.emploi.ci/offre-emploi-cote-ivoire/angular-developer-mf-1386339
DevOps Engineer (M/F),AFRICASHORE,"We are looking for DevOps Engineer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Ensure effective Design, Development, Validation and Support activities. Defining and setting development, test, release, deploy/implementation for DevOps operation. To play a key role in the overall estimation of work requirements. Be a key contributor to building efficient programs/ systems. Application Development and Maintenance. Knowledge of design principles and fundamentals of architecture. Knowledge of quality processes and estimation techniques. Basic understanding of project domain. Ability to translate functional / nonfunctional requirements...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,AGILE - APACHE - ARTIFACTORY - AZURE - CVS - DOCKER - DYNATRACE - ECLIPSE - GIT - GITLAB - GROOVY - JAVA - JAVASCRIPT - JBOSS - JENKINS - JIRA - LESS - LINUX - ORACLE - POSTGIS - POSTGRESQL - PYTHON - SCRUM - SHELL - SONARQUBE - WEBLOGIC,https://www.emploi.ci/offre-emploi-cote-ivoire/devops-engineer-mf-1386340
DOTNET Developer (M/F),AFRICASHORE,"We are looking for DOTNET Developer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Working within a Team to determine needs and applying / customizing existing technology to meet those needs. Producing detailed specifications and writing the program codes that perform efficiently. Write clean, scalable, reusable code using.NET programming languages. Advanced conceptual understanding of at least one Programming Language. Advanced conceptual understanding of one database and one Operating System. Understanding of Software Engineering with practice in at least one project. Exposure to Design Principles and ability to understand Design...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,API - ASP - C# - CSS - CVS - DOTNET - FRONT END - HTML - HTTP - LINUX - MVC - MYSQL - NET - QUERY - REST - SOAP - SQL,https://www.emploi.ci/offre-emploi-cote-ivoire/dotnet-developer-mf-1386341
IOS Developer (M/F),AFRICASHORE,"We are looking for iOS Developer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Implement, develop, and fix code according to corporate coding standards. Design and build advanced applications for the iOS platform. IOS Developer, who is responsible for App development with quality and by following the best practices. Ability to write scalable and maintainable code. Coordinate with other team members to ensure that all TMs are in sync. Be self-starter and goal-oriented with strong analytical and problem-solving skills. Ability to work cooperatively within a strong diverse technical community to expedite development tasks. Collaborate...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,AGILE - APP - COCOA - CVS - FOUNDATION - GIT - SWIFT - TMS,https://www.emploi.ci/offre-emploi-cote-ivoire/ios-developer-mf-1386342
JAVA Developer (M/F),AFRICASHORE,"We are looking for JAVA Developer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Working within a Team to determine needs and applying / customizing existing technology to meet those needs. Producing detailed specifications and writing the program codes that perform efficiently. Write clean, scalable, reusable code using JAVA Framework sach as Spring, Struts, JSF, GWT etc. Lead a team closely with complete authority and accountability to deliver high quality software products in a fast-paced environment. Guide your team members on latest technologies including Java, Spring, Spring-Boot, Angular, Hibernate, Grails, Groovy, Kafka, Redis, Hazelcast...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,AGILE - API - BOOTSTRAP - CONFLUENCE - CVS - GIT - GRAILS - GROOVY - GWT - HIBERNATE - HTML - JAVA - JAVASCRIPT - JENKINS - JIRA - JQUERY - JSF - MYSQL - ORACLE - REDIS - SPRING - STRUTS,https://www.emploi.ci/offre-emploi-cote-ivoire/java-developer-mf-1386343
JAVA JEE Developer (M/F),AFRICASHORE,"We are looking for JAVA JEE Developer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Good exposure to Core Java, MySQL server as DB. Maintain source code control of all application code, scripts, and database definition language. Design, Develop, Implement and/or Manage project. Responsible for development, focusing on designs, coding, testing, quality assurance of complex product features in a development team. Show initiative and drive topics to resolution in a high level of quality, speed, reliability and efficiency considering the essential non-functional requirements. Analyzing clients' requirements and produce technical proposals,...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,AGILE - ANGULAR JS - AZURE - BIG DATA - CASSANDRA - COUCHBASE - CSS - CVS - DOCKER - GIT - HADOOP - HIBERNATE - HTML - J2EE - JAVA - JAVA JEE - JAVASCRIPT - JBOSS - JENKINS - MAVEN - MVC - MYSQL - NOSQL - ORACLE - REDIS - REST - SOAP - SPARK - SPRING - SQL - STRUTS - WEBLOGIC,https://www.emploi.ci/offre-emploi-cote-ivoire/java-jee-developer-mf-1386344
JAVASCRIPT Developer (M/F),AFRICASHORE,"We are looking for JAVASCRIPT Developer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Primarily responsible for developing software components using Core JavaScript, HTML5 and CSS. Ensure designs are in compliance with specifications. Prepare and produce releases of software components. Help maintain code quality, organization, unit tests and automation. Support continuous improvement by investigating alternatives and technologies and presenting these for architectural review. Building sustainable coding that may be used in the future. Modifying designs and specifications of complex applications. Analyzing code, requirements, system...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,ANGULAR JS - API - BACKBONE JS - CSS - CVS - DOJO - HTML - JAVASCRIPT - JENKINS - JQUERY - MONGODB - ORACLE,https://www.emploi.ci/offre-emploi-cote-ivoire/javascript-developer-mf-1386345
KOTLIN Developer (M/F),AFRICASHORE,"We are looking for KOTLIN Developer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Working directly with developers and product managers to conceptualize, build, test and release products. Carefully evaluate the technical trade-offs of every decision. Work on bug fixing and improving application performance. Deliver quality code in an efficient manner. Continuously discover, evaluate, and implement new technologies to maximize development efficiency. Optimizing performance for the apps and keep up to date on the latest industry trends in the mobile technologies. Collaborating with UI and UX Designers, as well as Software Testers, to...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,AGILE - ANDROID - API - APP - AZURE - CVS - DNS - DOCKER - GIT - JAVA - JENKINS - LOAD BALANCING - MAC - MAVEN - MVVM - OPENSTACK - PAAS - SDK - TCP IP - TDD - UDP - XML,https://www.emploi.ci/offre-emploi-cote-ivoire/kotlin-developer-mf-1386346
LARAVEL Developer (M/F),AFRICASHORE,"We are looking for LARAVEL Developer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Develop, test, and maintain applications to specified designs & standards in Laravel. Develop & implement modern web services using service-oriented architecture, RESTful APIs, and SOAP. Write and execute unit tests. Implement front-end interfaces & experiences with modern HTML/CSS/jQuery. Test, troubleshoot, and optimize application components for maximum speed, security, stability and scalability. Developing and maintaining dynamic websites and web applications. Develop and deploy new features to facilitate related procedures and tools if...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,AJAX - CODEIGNITER - CSS - CVS - GIT - HTML - JAVASCRIPT - JQUERY - LARAVEL - MARIADB - MVC - MYSQL - NOSQL - QUERY - SOAP - SQL - TFS,https://www.emploi.ci/offre-emploi-cote-ivoire/laravel-developer-mf-1386347
NODE.JS Developer (M/F),AFRICASHORE,"We are looking for NODE.JS Developer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Design and develop business logic and backend services for full-scale applications. Be responsible for designing, coding, testing, and implementing web applications. Write scalable, robust, testable, efficient, and easily maintainable code for our online comparison calculators and internal tools. Be responsible for system design and application development of web applications. Documenting Node.js processes, including database schemas, as well as preparing reports. Design and implementation of low-latency, high-availability, and high-performance applications...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,BOOTSTRAP - CSS3 - CVS - DOCKER - GIT - JAVASCRIPT - JIRA - JQUERY - JSON - LESS - MONGODB - MVC - MYSQL - NODE JS - NOSQL - POSTGRESQL - REACT - REDIS - REST - SQL - XML,https://www.emploi.ci/offre-emploi-cote-ivoire/nodejs-developer-mf-1386348
OBJECTIVE-C Developer (M/F),AFRICASHORE,"We are looking for OBJECTIVE-C Developer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Design and build advanced applications for the iOS platform. Analyze client business requirements and user experience to shape, design, and build custom mobile experiences for the clients. Collaborate with cross-functional teams to define, design, and ship new features. Ensure the performance, quality, and responsiveness of applications. Unit-test code for robustness, including edge cases, usability, and general reliability. Work on bug fixing and improving application performance. Help maintain code quality, organization, and automatization. Work on...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,ANDROID - APP - COCOA - CSS - CVS - EDGE - GIT - HTML - JAVASCRIPT - JQUERY - JSON - LINUX - MAC - MERCURIAL - OSX - REST - SWIFT - XML,https://www.emploi.ci/offre-emploi-cote-ivoire/objective-c-developer-mf-1386349
PHP Developer (M/F),AFRICASHORE,"We are looking for PHP Developer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Writing clean, fast code PHP to a high standard, in a timely and scalable way. Design E-Commerce websites and Dashboards using PHP, and Strong Knowledge on Integrations Like, Payment gateway, APi s etc. Establishing and guiding the website s architecture. Conducting analysis of website and application requirements. Writing back-end code and building efficient PHP modules. Developing back-end portals with an optimized database. Updating and altering application features to enhance performance. Helping formulate an effective, responsive design and turning it...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,AJAX - API - CODEIGNITER - CSS3 - CVS - GIT - JAVASCRIPT - LARAVEL - MAGENTO - MERCURIAL - MONGODB - MVC - MYSQL - NOSQL - ORACLE - SQL - SYMFONY - XML - ZEND,https://www.emploi.ci/offre-emploi-cote-ivoire/php-developer-mf-1386350
PYTHON Developer (M/F),AFRICASHORE,"We are looking for PYTHON Developer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Design, implement, maintain and deploy applications. Convert specifications and requirements into functional application code. Demonstrate focus on quality (unit testing, system testing, user acceptance testing) and product support ownership... Support deployments and releases. Creating products that are user-friendly, effective and appealing. Enforce good programming practices. Contribute to develop, maintain and improve in house python applications. Work closely with other development teams to ensure successful implementation of applications. Conduct...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,AGILE - API - CSS - CVS - DJANGO - HTML - PYTHON - SCRUM - SQL - TORNADO,https://www.emploi.ci/offre-emploi-cote-ivoire/python-developer-mf-1386351
QA Tester (M/F),AFRICASHORE,"We are looking for QA Tester profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Work on tasks identified in the testing strategy and plan. Be responsible for the accurate recording of defects and the collation of metrics and KPI information for reporting purposes. Articulation of defects in detailed manner, assigning defects to technical teams, capturing target fix dates. Identifie the tasks and resources needed to ensure that their specific portion of the testing process meets software quality requirements prior to release into a live environment. Establish the testing process such as test automation, performance testing, testing process, test...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,AGILE - API - APP - CVS - JAVA - MAVEN - MYSQL - SCRUM - SELENIUM - SQL,https://www.emploi.ci/offre-emploi-cote-ivoire/qa-tester-mf-1386352
REACT Developer (M/F),AFRICASHORE,"We are looking for REACT Developer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Responsible for requirement analysis, Design and Development of modules. Using React and Redux, design and develop user interface components for JavaScript-based online and mobile apps. Develop new user-facing features. Build reusable code and libraries for future use. Ensure the technical feasibility of UI/UX designs. Writing application interface codes using JavaScript following react.js workflows. Review code, elicit requirements and design specifications. Prepares the deployment documents and deploys the code. Reports status to Project management...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,BOOTSTRAP - CSS - CVS - GIT - JAVA - JAVASCRIPT - JQUERY - LESS - REACT,https://www.emploi.ci/offre-emploi-cote-ivoire/react-developer-mf-1386353
RUBY ON RAILS Developer (M/F),AFRICASHORE,"We are looking for RUBY ON RAILS Developer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Providing enhancements to the application platform with specific emphasis on sound fundamental development methodology in Ruby on Rails. Design and develop responsive, high performing web applications using modern techniques and frameworks as well as write tests and perform code reviews in a dynamic, fast paced agile environment. Maintain responsibility for analysis of Incident Tickets & Resolution, supply to Continual Service Improvement Programs. Writte and maintain reliable Ruby code. Integrating user-facing elements designed by the front-end team...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,AGILE - CSS - CVS - DOCKER - GIT - HTML - JAVASCRIPT - JIRA - JQUERY - MONGODB - MYSQL - POSTGRESQL - RUBY ON RAILS,https://www.emploi.ci/offre-emploi-cote-ivoire/ruby-on-rails-developer-mf-1386354
SWIFT Developer (M/F),AFRICASHORE,"We are looking for SWIFT Developer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   We are looking for an iOS/Swift developer responsible for the development and maintenance of applications aimed towards iOS and OS X, including mobile phones, tablets, and full. Plan, design and build advanced and build secure applications for iOS and OS X platform. Monitor the performance, quality, and responsiveness of company s applications. Work with the rest of the team to define, design, and develop new features. Find and fix bugs in a timely manner. Worked in Agile / SCRUM Methodology. Help maintain high-level code quality, organization and...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,AGILE - CVS - GIT - MERCURIAL - REST - SCRUM - SWIFT,https://www.emploi.ci/offre-emploi-cote-ivoire/swift-developer-mf-1386355
Test and Validation Engineer (M/F),AFRICASHORE,"We are looking for Test and Validation Engineer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Develop and apply design verification and validation protocols based on system requirements and approved procedures and standards (ISO, IEC and FDA). Identify tasks required to complete projects in accordance with Design Control procedures. Propose technical solutions and associated schedules to complete projects on time. Design and build test benches; follow up maintenance and calibration. Create, analyse and summarise documentation of verification and validation results for internal reviews and regulatory submissions. Supervise and perform...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,CVS - RHEL - SUSE,https://www.emploi.ci/offre-emploi-cote-ivoire/test-validation-engineer-mf-1386356
Test Automation Engineer (M/F),AFRICASHORE,"We are looking for Test Automation Engineer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Develop, maintain, and execute automation tests. Develop and maintain test automation architecture and frameworks. Write complex scripts in one or more programming languages. Ensure scalability of automation and Continuous Integration across the solution. Assist in analysis and piloting of best-in-class automation testing tools and propose commission and use to relevant stakeholders. Design and develop strategic automated tests while maintaining and enhancing frameworks and test tools. Reviews specifications to determine software engineering...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,API - CVS - GIT - GITLAB - JAVASCRIPT - JENKINS - LINUX - MATRIX - MYSQL - ORACLE - PYTHON - SHELL - SQL,https://www.emploi.ci/offre-emploi-cote-ivoire/test-automation-engineer-mf-1386357
UX / UI Designer (M/F),AFRICASHORE,"We are looking for UX / UI Designer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Design graphic user interface elements, like menus, tabs, and widgets. Be in proactive mode to instill new approaches in design. Produce and enhance wireframes, interactive prototypes, user flow diagrams, and other UI-UX design solutions for Desktop & Mobile products. Create visuals for the web (editing, photo, video, etc.). Develop UI mockups and prototypes that clearly illustrate how sites function and look like. Create mock-ups in accordance with the graphic charter of the brand or product. Design interfaces for web and mobile. Build page...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,AJAX - BOOTSTRAP - CSS - CVS - GIT - HTML - ILLUSTRATOR - JAVASCRIPT - PHOTOSHOP,https://www.emploi.ci/offre-emploi-cote-ivoire/ux-ui-designer-mf-1386358
AWS Cloud Architect (M/F),AFRICASHORE,"We are looking for  AWS Cloud Architect  profiles / CVs to share with our clients for their future recruitment campaigns.   Mission:   Support and advise clients in the adoption and deployment of AWS services (IT Strategy, Opportunity Study, Audit, Framework and Roadmap). Design solution platforms integrating AWS reference services (Serverless Architecture, Analytics, IoT, EKS, ...) in Native Cloud and Hybrid Cloud contexts. Conduct research, tests, and execute new techniques which could be reused and applied to the project. Accountable for designing, building, and optimizing automation systems that help to execute business web and data infrastructure platforms.",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,AGILE - ALM - BASH - CVS - DNS - DOCKER - HTTP - IOT - JENKINS - LOAD BALANCING - PUPPET - PYTHON - REACT - SCRUM - SSL,https://www.emploi.ci/offre-emploi-cote-ivoire/aws-cloud-architect-mf-1386359
AWS Solutions Architect (M/F),AFRICASHORE,"We are looking for  AWS Solutions Architect profiles / CVs to share with our clients for their future recruitment campaigns.   Mission:   Design a robust, secure and optimized AWS architecture to implement large scale enterprise data solutions and applications. Develop and deliver AWS Cloud solutions in areas such as AIML, advanced analytics, microservices, serverless, etc. Build highly scalable, Cloud-native applications on AWS platform using services like API Gateway, Lambda, SQS, DynamoDB and ECS. Implement and manage KuberNetes environments. Ensure configuration and compliance with configuration management tools. Administer and troubleshoot Linux based...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,API - BIG DATA - CENTOS - CVS - DMS - DNS - DOCKER - HADOOP - HTTP - LINUX - RDS - SPARK - TALEND,https://www.emploi.ci/offre-emploi-cote-ivoire/aws-solutions-architect-mf-1386360
AZURE Solutions Architect (M/F),AFRICASHORE,"We are looking for  AZURE Solutions Architect profiles / CVs to share with our clients for their future recruitment campaigns.   Mission:   Serve as in-house technical expert providing technical guidance on new features & functionalities, drive the deployment of the customers workloads into Azure and provide deployment guidance. Deliver Cloud platform architecture documents detailing the vision for how Azure infrastructure and platform services support the overall application architecture. Proven background in the design and implementation of large scale, global, complex custom application development systems (e.g., high transaction volumes). Experience problem solving...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,ACCESS - AGILE - ARM - AZURE - COSMOS - CVS - PAAS - REDIS - SHELL - SQL,https://www.emploi.ci/offre-emploi-cote-ivoire/azure-solutions-architect-mf-1386361
Cloud Architect (M/F),AFRICASHORE,"We are looking for  Cloud Architect profiles / CVs to share with our clients for their future recruitment campaigns.   Mission:   Lead analysis, recommendations, and presentation of approaches on Cloud migration roadmaps, architecture / designs etc. Involve in conducting Azure readiness assessments and evaluations and delivery of assessment reports, architecture/design/ deployment documents & presentations. Architecting Cloud solutions for new applications. Design Cloud architectures, environments, and solutions that meet the business requirements with an emphasis on meeting the overall business goals. Design highly available, scalable and secure solutions using...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,AGILE - API - ARM - AZURE - C# - COSMOS - CVS - LESS - NOSQL - PAAS - SQL - VM,https://www.emploi.ci/offre-emploi-cote-ivoire/cloud-architect-mf-1386362
